Demographic status,Gender,Campaign,Ad group,Status,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Unknown,ADa - Competitors,Jane Software,Campaign paused, --,7,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,ModMed,Campaign paused, --,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,PracticeBetter,Ad group not complete, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Carepatron,Campaign paused, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,PrognoCIS (Bizmatics Inc.),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,WebPT,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Adroit(UAE),Campaign paused, --,18,2,11.11%,USD,1.90,3.79,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,eClinicalWorks,Campaign paused, --,9,1,11.11%,USD,1.84,1.84,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,DTech IT Solutions(UAE),Campaign paused, --,18,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,CureMD,Campaign paused, --,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Noterro,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Ensora Health,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,AdvancedMD,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Clintee(UAE),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Tebra,Campaign paused, --,4,1,25.00%,USD,0.87,0.87,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Clinicea,Campaign paused, --,60,5,8.33%,USD,1.94,9.71,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,РЎlinicsoftwaredubai(UAE),Campaign paused, --,7,1,14.29%,USD,1.81,1.81,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Oracle Health,Campaign paused, --,187,7,3.74%,USD,1.78,12.47,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,NextGen Healthcare,Campaign paused, --,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Adroit(UAE),Campaign paused, --,6,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,AdvancedMD,Campaign paused, --,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Valant,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Tebra,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Clinicea,Campaign paused, --,43,3,6.98%,USD,1.16,3.48,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Athenahealth,Campaign paused, --,21,4,19.05%,USD,1.76,7.03,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Pabau,Campaign paused, --,16,2,12.50%,USD,1.48,2.96,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Clintee(UAE),Campaign paused, --,5,2,40.00%,USD,1.93,3.86,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,eClinicalWorks,Campaign paused, --,8,1,12.50%,USD,1.89,1.89,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,MedicoPlus,Campaign paused, --,12,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Valant,Campaign paused, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Jane Software,Campaign paused, --,4,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Practice Better,Campaign paused, --,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,CureMD,Campaign paused, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Clintee(UAE),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Ensora Health,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,DrChrono,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Innsof Medcare(UAE),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Tebra,Campaign paused, --,1,1,100.00%,USD,1.94,1.94,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Jane Software,Campaign paused, --,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Care4 EMR(UAE),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Oracle Health,Campaign paused, --,132,8,6.06%,USD,1.88,15.02,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,WebPT,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Experity Health,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,TherapyNotes,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Athenahealth,Campaign paused, --,21,3,14.29%,USD,1.93,5.79,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Azalea Health,Campaign paused, --,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Valant,Campaign paused, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Experity Health,Campaign paused, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Veradigm,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,TherapyNotes,Campaign paused, --,2,1,50.00%,USD,1.98,1.98,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,DOCMate,Campaign paused, --,169,22,13.02%,USD,1.64,36.10,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,TherapyNotes,Campaign paused, --,6,2,33.33%,USD,1.58,3.16,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,CentralReach,Campaign paused, --,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Practice Fusion,Campaign paused, --,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,РЎlinicsoftwaredubai(UAE),Campaign paused, --,4,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Innsof Medcare(UAE),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Veradigm,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Practice Fusion,Campaign paused, --,5,1,20.00%,USD,1.98,1.98,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,SimplePractice,Campaign paused, --,1,1,100.00%,USD,1.98,1.98,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Oracle Health,Campaign paused, --,83,4,4.82%,USD,1.87,7.49,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,eClinicalWorks,Campaign paused, --,16,2,12.50%,USD,1.78,3.55,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Practice Better,Campaign paused, --,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Athenahealth,Campaign paused, --,8,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Experity Health,Campaign paused, --,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,CureMD,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Raintree Systems,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Innsof Medcare(UAE),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,PrognoCIS (Bizmatics Inc.),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,DrChrono,Campaign paused, --,5,1,20.00%,USD,1.94,1.94,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Adroit(UAE),Campaign paused, --,6,1,16.67%,USD,1.56,1.56,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,DrChrono,Campaign paused, --,4,3,75.00%,USD,1.74,5.23,33.33%,1.00,5.23
Enabled,Female,ADa - Competitors,CareCloud,Campaign paused, --,1,1,100.00%,USD,0.71,0.71,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,CareCloud,Campaign paused, --,7,1,14.29%,USD,2.00,2.00,0.00%,0.00,0.00
