Ad schedule day and hour report
1 October 2025 - 31 December 2025
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Thursday,22,ADa - Services,5,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Sunday,14,ADa - Services,66,7,10.61%,USD,2.92,20.47,0.00%,0.00,0.00
Saturday,17,ADa - Services,53,7,13.21%,USD,2.54,17.79,0.00%,0.00,0.00
Wednesday,22,ADa - PMax,59,10,16.95%,USD,0.38,3.78,0.00%,0.00,0.00
Tuesday,11,ADa - PMax,98,19,19.39%,USD,0.11,2.12,0.00%,0.00,0.00
Monday,2,ADa - PMax,305,8,2.62%,USD,0.08,0.60,0.00%,0.00,0.00
Saturday,14,ADa - PMax,680,33,4.85%,USD,0.05,1.81,0.00%,0.00,0.00
Thursday,18,ADa - Competitors,19,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Monday,6,ADa - Services,16,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Wednesday,1,ADa - PMax,92,7,7.61%,USD,0.30,2.13,0.00%,0.00,0.00
Wednesday,7,ADa - PMax,17,6,35.29%,USD,0.03,0.18,0.00%,0.00,0.00
Wednesday,8,ADa - PMax,16,4,25.00%,USD,0.32,1.29,0.00%,0.00,0.00
Wednesday,10,ADa - PMax,40,7,17.50%,USD,0.31,2.15,0.00%,0.00,0.00
Tuesday,3,ADa - PMax,26,1,3.85%,USD,0.29,0.29,0.00%,0.00,0.00
Sunday,10,ADa - PMax,46,15,32.61%,USD,0.06,0.91,0.00%,0.00,0.00
Monday,0,ADa - Services,35,2,5.71%,USD,1.87,3.74,0.00%,0.00,0.00
Monday,5,ADa - Services,8,1,12.50%,USD,2.97,2.97,0.00%,0.00,0.00
Thursday,7,ADa - Competitors,6,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,0,ADa - Services,45,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,14,ADa - Competitors,26,1,3.85%,USD,1.99,1.99,0.00%,0.00,0.00
Monday,16,ADa - Competitors,22,2,9.09%,USD,1.93,3.86,0.00%,0.00,0.00
Sunday,10,ADa - Competitors,7,1,14.29%,USD,2.00,2.00,0.00%,0.00,0.00
Friday,21,ADa - PMax,732,31,4.23%,USD,0.23,7.13,3.23%,1.00,7.13
Thursday,10,ADa - PMax,14,11,78.57%,USD,0.01,0.11,0.00%,0.00,0.00
Thursday,11,ADa - PMax,18,9,50.00%,USD,0.25,2.24,0.00%,0.00,0.00
Saturday,16,ADa - PMax,631,16,2.54%,USD,0.04,0.68,6.25%,1.00,0.68
Wednesday,2,ADa - Services,15,2,13.33%,USD,2.47,4.94,0.00%,0.00,0.00
Tuesday,21,ADa - Services,42,1,2.38%,USD,1.26,1.26,0.00%,0.00,0.00
Monday,12,ADa - Services,114,7,6.14%,USD,2.32,16.26,0.00%,0.00,0.00
Saturday,14,ADa - Services,32,4,12.50%,USD,2.06,8.24,0.00%,0.00,0.00
Tuesday,5,ADa - Competitors,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Tuesday,10,ADa - Competitors,10,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Monday,23,ADa - PMax,14,0,0.00%,USD,0,0.01,0.00%,0.00,0.00
Thursday,3,ADa - Services,8,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Thursday,20,ADa - Competitors,7,1,14.29%,USD,1.98,1.98,0.00%,0.00,0.00
Tuesday,1,ADa - Competitors,4,2,50.00%,USD,1.47,2.94,0.00%,0.00,0.00
Monday,15,ADa - Competitors,15,2,13.33%,USD,2.00,3.99,0.00%,0.00,0.00
Sunday,7,ADa - Competitors,1,1,100.00%,USD,1.82,1.82,0.00%,0.00,0.00
Friday,0,ADa - PMax,208,12,5.77%,USD,0.05,0.55,0.00%,0.00,0.00
Tuesday,23,ADa - PMax,15,2,13.33%,USD,0.27,0.53,0.00%,0.00,0.00
Monday,17,ADa - PMax,112,15,13.39%,USD,0.17,2.51,0.00%,0.00,0.00
Friday,21,ADa - Services,63,3,4.76%,USD,2.96,8.88,0.00%,0.00,0.00
Tuesday,16,ADa - Services,15,2,13.33%,USD,1.67,3.34,0.00%,0.00,0.00
Tuesday,23,ADa - Services,24,1,4.17%,USD,2.49,2.49,0.00%,0.00,0.00
Sunday,15,ADa - Services,56,3,5.36%,USD,1.90,5.70,0.00%,0.00,0.00
