Household income report
1 January 2026 - 26 March 2026
Demographic status,Household income,Campaign,Ad group,Status,Bid adj.,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Unknown,S | General | UK,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,Rem | EU | FR,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,Rem | EU | FR,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | UK,tights anti ladder,Campaign paused, --,EUR,65.00,598,31,5.18%,1.25,38.87,3.23%,1.00,38.87
Enabled,Unknown,S | General | UK,tights does not break,Campaign paused, --,EUR,110.13,122,12,9.84%,1.12,13.44,0.00%,0.00,0.00
Enabled,11 - 20%,Rem | EU | FR,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,Rem | EU | FR,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | EU | FR,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | General | UK,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,Rem | EU | FR,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,Rem | EU | FR,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,Rem | EU | FR,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | General | UK,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | General | UK,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | General | UK,tights anti ladder,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | General | UK,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | General | UK,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | General | UK,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | General | UK,tights ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | General | UK,tights anti ladder,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,Rem | EU | FR,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | UK,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | General | UK,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | General | UK,tights anti ladder,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | General | UK,tights ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | General | UK,tights ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | General | UK,tights does not break,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,Rem | EU | FR,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,Rem | EU | FR,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: Household incomes,,,,,,EUR,4.96,"474,315","3,176",0.67%,0.74,2350.52,2.45%,77.75,30.23
Total: Display automatic targeting,,,,,,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: Account,,,,,,EUR,8.16,"825,123","20,491",2.48%,0.33,6734.95,0.74%,151.00,44.60
Total: Demand Gen,,,,,,EUR,0.72,"446,413","1,440",0.32%,0.22,322.04,0.00%,0.00,0.00
Total: Display,,,,,,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: Shopping,,,,,,EUR,18.00,"2,911",44,1.51%,1.19,52.41,0.00%,0.00,0.00
Total: Performance Max,,,,,,EUR,12.45,"347,874","17,270",4.96%,0.25,4331.28,0.42%,73.25,59.13
Total: Search,,,,,,EUR,72.70,"27,902","1,736",6.22%,1.17,2028.48,4.48%,77.75,26.09
Total: Smart,,,,,,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
