Device report
1 October 2025 - 31 December 2025
Device,Level,Campaign,Ad group,Bid adj.,Ad group bid adj.,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Tablets,Campaign,PMax | General | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,PMax | General | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,PMax | General | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,PMax | General | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,Ehsan - Generic Search_Dutch_NL/BE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,PMax | General | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Ehsan - Generic Search_Dutch_NL/BE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,PMax | General | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | General | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Ehsan - Generic Search_Dutch_NL/BE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
,,,,Total: Account,,EUR,6.58,"1,868,360","42,624",2.28%,0.29,12291.93,1.17%,500.00,24.58
