Age report
1 October 2025 - 31 December 2025
Demographic status,Age,Campaign,Ad group,Status,Bid adj.,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,35 - 44,DGen | EN,All Products,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | EU | DE,14 days add cart,Campaign paused, --,EUR,10.33,557,13,2.33%,0.44,5.75,0.00%,0.00,0.00
Enabled,18 - 24,Rem | EU | DE,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,Rem | EU | DE,14 days add cart,Campaign paused, --,EUR,52.58,326,23,7.06%,0.75,17.14,0.00%,0.00,0.00
Enabled,65+,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,985.28,36,9,25.00%,3.94,35.47,0.00%,0.00,0.00
Enabled,25 - 34,DGen | EN,All Products,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,DGen | EN,All Products,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | EU | DE,strumpfhosen ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | EU | DE,strumpfhosen bijenkorf,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | DE,strumpfhosen onverwoestbare,Campaign paused, --,EUR,64.69,"1,024",41,4.00%,1.62,66.24,2.44%,1.00,66.24
Enabled,45 - 54,S | General | EU | DE,strumpfhosen onverwoestbare,Campaign paused, --,EUR,224.10,112,14,12.50%,1.79,25.10,0.00%,0.00,0.00
Enabled,35 - 44,S | General | EU | DE,strumpfhosen onverwoestbare,Campaign paused, --,EUR,131.71,186,15,8.06%,1.63,24.50,0.00%,0.00,0.00
Enabled,25 - 34,S | General | EU | DE,strumpfhosen anti ladder,Campaign paused, --,EUR,82.93,286,18,6.29%,1.32,23.72,5.56%,1.00,23.72
Enabled,65+,S | General | EU | DE,strumpfhosen anti ladder,Campaign paused, --,EUR,30.00,24,2,8.33%,0.36,0.72,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | DE,strumpfhosen 80 dernier,Campaign paused, --,EUR,99.08,382,15,3.93%,2.52,37.85,0.00%,0.00,0.00
Enabled,25 - 34,S | General | EU | DE,strumpfhosen does not break,Campaign paused, --,EUR,68.51,326,19,5.83%,1.18,22.33,0.00%,0.00,0.00
Enabled,55 - 64,S | General | EU | DE,strumpfhosen does not break,Campaign paused, --,EUR,107.21,122,8,6.56%,1.63,13.08,0.00%,0.00,0.00
Enabled,35 - 44,S | General | EU | DE,strumpfhosen stippen,Campaign paused, --,EUR,10.00,101,1,0.99%,1.01,1.01,0.00%,0.00,0.00
Enabled,18 - 24,S | General | EU | DE,strumpfhosen anti ladder,Campaign paused, --,EUR,182.38,42,4,9.52%,1.92,7.66,0.00%,0.00,0.00
Enabled,55 - 64,S | General | EU | DE,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | EU | DE,strumpfhosen 80 dernier,Campaign paused, --,EUR,34.20,65,3,4.62%,0.74,2.22,0.00%,0.00,0.00
Enabled,35 - 44,S | General | EU | DE,strumpfhosen ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | EU | DE,strumpfhosen ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | EU | DE,strumpfhosen ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | EU | DE,strumpfhosen does not break,Campaign paused, --,EUR,86.04,153,11,7.19%,1.20,13.16,0.00%,0.00,0.00
Enabled,35 - 44,S | General | EU | DE,strumpfhosen bijenkorf,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | EU | DE,strumpfhosen onverwoestbare,Campaign paused, --,EUR,90.77,36,2,5.56%,1.63,3.27,0.00%,0.00,0.00
Enabled,18 - 24,S | General | EU | FR,Collants solides,Campaign paused, --,EUR,102.71,83,10,12.05%,0.85,8.52,0.00%,0.00,0.00
Enabled,55 - 64,S | General | EU | DE,strumpfhosen 80 dernier,Campaign paused, --,EUR,80.36,28,2,7.14%,1.13,2.25,0.00%,0.00,0.00
Enabled,65+,S | General | EU | DE,strumpfhosen stippen,Campaign paused, --,EUR,0.00,8,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | EU | DE,strumpfhosen stippen,Campaign paused, --,EUR,0.00,30,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | EU | DE,strumpfhosen bijenkorf,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | EU | DE,strumpfhosen does not break,Campaign paused, --,EUR,85.31,288,21,7.29%,1.17,24.57,0.00%,0.00,0.00
Enabled,45 - 54,S | General | EU | DE,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | EU | DE,strumpfhosen anti ladder,Campaign paused, --,EUR,19.87,75,2,2.67%,0.75,1.49,0.00%,0.00,0.00
Enabled,45 - 54,S | General | EU | DE,strumpfhosen anti ladder,Campaign paused, --,EUR,35.17,145,5,3.45%,1.02,5.10,20.00%,1.00,5.10
Enabled,55 - 64,S | General | EU | FR,Collants solides,Campaign paused, --,EUR,98.28,107,9,8.41%,1.17,10.52,0.00%,0.00,0.00
Enabled,35 - 44,S | General | EU | DE,strumpfhosen anti ladder,Campaign paused, --,EUR,77.69,273,13,4.76%,1.63,21.21,7.69%,1.00,21.21
Enabled,45 - 54,S | General | EU | DE,strumpfhosen stippen,Campaign paused, --,EUR,87.92,64,5,7.81%,1.13,5.63,0.00%,0.00,0.00
Enabled,25 - 34,S | General | EU | DE,strumpfhosen 80 dernier,Campaign paused, --,EUR,92.92,47,3,6.38%,1.46,4.37,0.00%,0.00,0.00
Enabled,25 - 34,S | General | EU | DE,strumpfhosen ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | DE,strumpfhosen does not break,Campaign paused, --,EUR,47.46,992,49,4.94%,0.96,47.08,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | FR,Collants solides,Campaign paused, --,EUR,55.51,"1,583",120,7.58%,0.73,87.87,0.00%,0.00,0.00
Enabled,65+,S | General | EU | DE,strumpfhosen 80 dernier,Campaign paused, --,EUR,0.00,15,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | EU | DE,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | EU | DE,strumpfhosen does not break,Campaign paused, --,EUR,55.38,26,2,7.69%,0.72,1.44,0.00%,0.00,0.00
Enabled,25 - 34,S | General | EU | DE,strumpfhosen onverwoestbare,Campaign paused, --,EUR,150.91,179,13,7.26%,2.08,27.01,7.69%,1.00,27.01
Enabled,65+,S | General | EU | DE,strumpfhosen onverwoestbare,Campaign paused, --,EUR,176.80,37,5,13.51%,1.31,6.54,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | DE,strumpfhosen stippen,Campaign paused, --,EUR,54.24,480,19,3.96%,1.37,26.04,0.00%,0.00,0.00
Enabled,25 - 34,S | General | EU | DE,strumpfhosen stippen,Campaign paused, --,EUR,36.35,115,5,4.35%,0.84,4.18,0.00%,0.00,0.00
Enabled,45 - 54,S | General | EU | DE,strumpfhosen 80 dernier,Campaign paused, --,EUR,469.60,30,5,16.67%,2.82,14.09,0.00%,0.00,0.00
Enabled,25 - 34,S | General | EU | FR,Collants solides,Campaign paused, --,EUR,102.71,670,67,10.00%,1.03,68.82,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | DE,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | EU | DE,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | EU | DE,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | EU | DE,strumpfhosen ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | DE,strumpfhosen bijenkorf,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | EU | DE,strumpfhosen bijenkorf,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | EU | DE,strumpfhosen bijenkorf,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | DE,strumpfhosen anti ladder,Campaign paused, --,EUR,66.57,"1,132",57,5.04%,1.32,75.36,3.51%,2.00,37.68
Enabled,65+,S | General | EU | FR,Collants solides,Campaign paused, --,EUR,134.37,36,4,11.11%,1.21,4.84,0.00%,0.00,0.00
Enabled,18 - 24,S | General | EU | DE,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | EU | DE,strumpfhosen does not break,Campaign paused, --,EUR,205.69,51,6,11.76%,1.75,10.49,0.00%,0.00,0.00
Enabled,55 - 64,S | General | EU | DE,strumpfhosen onverwoestbare,Campaign paused, --,EUR,227.55,88,7,7.95%,2.86,20.02,0.00%,0.00,0.00
Enabled,45 - 54,S | General | EU | FR,Collants solides,Campaign paused, --,EUR,112.58,239,28,11.72%,0.96,26.91,3.57%,1.00,26.91
Enabled,35 - 44,S | General | EU | FR,Collants solides,Campaign paused, --,EUR,100.37,488,46,9.43%,1.06,48.98,0.00%,0.00,0.00
Enabled,55 - 64,S | General | EU | DE,strumpfhosen stippen,Campaign paused, --,EUR,0.00,39,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | EU | DE,strumpfhosen 80 dernier,Campaign paused, --,EUR,0.00,11,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | EU | DE,strumpfhosen bijenkorf,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | DE,strumpfhosen ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | UK,tights does not break,Campaign paused, --,EUR,95.85,157,12,7.64%,1.25,15.05,16.67%,2.00,7.52
Enabled,55 - 64,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,0.00,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | UK,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | UK,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | UK,tights does not break,Campaign paused, --,EUR,33.05,74,5,6.76%,0.49,2.45,0.00%,0.00,0.00
Enabled,55 - 64,S | General | UK,tights anti ladder,Campaign paused, --,EUR,166.95,146,23,15.75%,1.06,24.37,0.00%,0.00,0.00
Enabled,35 - 44,Rem | NL,14 days add cart,Campaign paused, --,EUR,6.65,"1,391",9,0.65%,1.03,9.25,0.00%,0.00,0.00
Enabled,55 - 64,S | General | UK,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | UK,tights does not break,Campaign paused, --,EUR,88.36,739,70,9.47%,0.93,65.30,4.29%,3.00,21.77
Enabled,Unknown,Rem | NL,14 days add cart,Campaign paused, --,EUR,13.99,518,9,1.74%,0.81,7.25,0.00%,0.00,0.00
Enabled,18 - 24,S | General | UK,tights anti ladder,Campaign paused, --,EUR,90.00,72,10,13.89%,0.65,6.48,0.00%,0.00,0.00
Enabled,45 - 54,S | General | UK,tights ladder resist,Campaign paused, --,EUR,179.48,214,31,14.49%,1.24,38.41,3.23%,1.00,38.41
Enabled,65+,Rem | NL,customer list,Campaign paused, --,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,Rem | NL,customer list,Campaign paused, --,EUR,0.00,11,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | UK,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | UK,tights does not break,Campaign paused, --,EUR,84.82,62,6,9.68%,0.88,5.26,0.00%,0.00,0.00
Enabled,25 - 34,Rem | NL,customer list,Campaign paused, --,EUR,5.75,279,2,0.72%,0.80,1.60,0.00%,0.00,0.00
Enabled,45 - 54,S | General | UK,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | UK,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | UK,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,154.69,20,7,35.00%,0.44,3.09,0.00%,0.00,0.00
Enabled,65+,Rem | NL,14 days add cart,Campaign paused, --,EUR,7.43,"4,851",46,0.95%,0.78,36.03,0.00%,0.00,0.00
Enabled,Unknown,S | General | UK,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,Rem | NL,customer list,Campaign paused, --,EUR,0.00,19,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | UK,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | UK,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | UK,tights does not break,Campaign paused, --,EUR,80.09,246,23,9.35%,0.86,19.70,0.00%,0.00,0.00
Enabled,35 - 44,S | General | UK,tights does not break,Campaign paused, --,EUR,103.00,474,46,9.70%,1.06,48.82,4.35%,2.00,24.41
Enabled,25 - 34,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,21.25,8,4,50.00%,0.04,0.17,0.00%,0.00,0.00
Enabled,35 - 44,S | General | UK,tights ladder resist,Campaign paused, --,EUR,121.15,367,44,11.99%,1.01,44.46,6.82%,3.00,14.82
Enabled,25 - 34,Rem | NL,14 days add cart,Campaign paused, --,EUR,2.50,"1,899",7,0.37%,0.68,4.75,0.00%,0.00,0.00
Enabled,18 - 24,Rem | NL,14 days add cart,Campaign paused, --,EUR,26.09,262,8,3.05%,0.85,6.83,0.00%,0.00,0.00
Enabled,45 - 54,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,108.00,10,1,10.00%,1.08,1.08,0.00%,0.00,0.00
Enabled,35 - 44,S | General | UK,tights anti ladder,Campaign paused, --,EUR,99.52,471,54,11.46%,0.87,46.87,5.56%,3.00,15.62
Enabled,35 - 44,Rem | NL,customer list,Campaign paused, --,EUR,0.00,24,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | UK,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | UK,tights ladder resist,Campaign paused, --,EUR,139.20,115,13,11.30%,1.23,16.01,0.00%,0.00,0.00
Enabled,45 - 54,Rem | NL,customer list,Campaign paused, --,EUR,0.00,21,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | UK,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | UK,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | UK,tights anti ladder,Campaign paused, --,EUR,57.68,56,4,7.14%,0.81,3.23,0.00%,0.00,0.00
Enabled,Unknown,S | General | UK,tights ladder resist,Campaign paused, --,EUR,60.41,"1,404",125,8.90%,0.68,84.82,0.80%,1.00,84.82
Enabled,55 - 64,Rem | NL,14 days add cart,Campaign paused, --,EUR,10.98,"3,578",38,1.06%,1.03,39.28,5.26%,2.00,19.64
Enabled,55 - 64,S | General | UK,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | UK,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | UK,tights does not break,Campaign paused, --,EUR,50.32,"1,475",107,7.25%,0.69,74.22,0.93%,1.00,74.22
Enabled,45 - 54,Rem | NL,14 days add cart,Campaign paused, --,EUR,4.34,"2,753",14,0.51%,0.85,11.96,0.00%,0.00,0.00
Enabled,65+,S | General | UK,tights ladder resist,Campaign paused, --,EUR,93.57,42,2,4.76%,1.97,3.93,0.00%,0.00,0.00
Enabled,45 - 54,S | General | UK,tights anti ladder,Campaign paused, --,EUR,86.51,205,16,7.80%,1.11,17.73,12.50%,2.00,8.87
Enabled,25 - 34,S | General | UK,tights anti ladder,Campaign paused, --,EUR,86.27,746,77,10.32%,0.84,64.36,2.60%,2.00,32.18
Enabled,Unknown,Rem | NL,customer list,Campaign paused, --,EUR,0.00,60,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | UK,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | UK,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | UK,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | UK,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | UK,tights ladder resist,Campaign paused, --,EUR,49.86,74,6,8.11%,0.62,3.69,0.00%,0.00,0.00
Enabled,Unknown,S | General | UK,tights anti ladder,Campaign paused, --,EUR,59.81,"1,615",158,9.78%,0.61,96.59,0.63%,1.00,96.59
Enabled,25 - 34,S | General | UK,tights ladder resist,Campaign paused, --,EUR,101.73,616,71,11.53%,0.88,62.67,1.41%,1.00,62.67
Enabled,65+,S | General | UK,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,157.89,11,6,54.55%,0.29,1.74,0.00%,0.00,0.00
Enabled,65+,S | General | UK,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,panty 80 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,competitor hema,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor blom kousen,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor sheertex,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,panty 30 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,panty 30 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,panty does not break,Campaign paused, --,EUR,109.05,"2,321",194,8.36%,1.30,253.10,5.63%,10.91,23.19
Enabled,25 - 34,S | General | NL,panty ladder resist,Campaign paused, --,EUR,52.24,58,3,5.17%,1.01,3.03,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,panty strong,Campaign paused, --,EUR,121.24,162,19,11.73%,1.03,19.64,2.63%,0.50,39.28
Enabled,18 - 24,S | General | NL,panty bijenkorf,Campaign paused, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,panty anti ladder zwart,Campaign paused, --,EUR,0.00,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty zwarte,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor heist studios,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor kunert,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor hema,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,panty anti ladder 30 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,panty 80 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty does not break,Campaign paused, --,EUR,78.82,"4,386",348,7.93%,0.99,345.71,4.36%,15.17,22.79
Enabled,18 - 24,S | General | NL,panty does not break,Campaign paused, --,EUR,97.56,274,25,9.12%,1.07,26.73,6.00%,1.50,17.82
Enabled,45 - 54,S | General | NL,panty strong,Campaign paused, --,EUR,44.59,91,5,5.49%,0.81,4.06,0.00%,0.00,0.00
Enabled,65+,S | General | NL,panty anti ladder,Campaign paused, --,EUR,86.63,69,5,7.25%,1.20,5.98,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,competitor hunkemoller,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,competitor oroblu,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,Remarketing,Add payment info,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,competitor falke,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,competitor zeeman,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,competitor marcmarcs,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,competitor kunert,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,competitor sheertex,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,panty 30 dernier plus size,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,panty 80 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,competitor hedoïne,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,panty does not break,Campaign paused, --,EUR,87.09,"1,226",83,6.77%,1.29,106.77,2.63%,2.19,48.86
Enabled,35 - 44,S | General | NL,panty anti ladder zwart,Campaign paused, --,EUR,85.27,27,3,11.11%,0.77,2.30,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,panty anti ladder,Campaign paused, --,EUR,109.26,780,59,7.56%,1.44,85.22,5.93%,3.50,24.35
Enabled,55 - 64,S | General | NL,competitor wolford,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor oroblu,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,competitor wolford,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,competitor wolford,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,competitor sheertex,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,panty zwarte,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,competitor hedoïne,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,panty 50 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,panty bijenkorf,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,panty ladder resist,Campaign paused, --,EUR,93.75,8,1,12.50%,0.75,0.75,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty strong,Campaign paused, --,EUR,77.15,337,29,8.61%,0.90,26.00,6.90%,2.00,13.00
Enabled,18 - 24,S | General | NL,panty anti ladder zwart,Campaign paused, --,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,panty ladder resist,Campaign paused, --,EUR,0.00,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
