Location report
1 January 2026 - 26 March 2026
Location,Campaign,Ad group,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Spain,PMax | Rem | EU | EN, --,EUR,4.69,"4,465",195,4.37%,0.11,20.93,0.00%,0.00,0.00
France,PMax | Rem | EU | EN, --,EUR,3.22,"6,301",395,6.27%,0.05,20.27,0.00%,0.00,0.00
Norway,PMax | Rem | EU | EN, --,EUR,10.26,"1,470",43,2.93%,0.35,15.08,0.00%,0.00,0.00
Czechia,PMax | Rem | EU | EN, --,EUR,3.50,"2,109",91,4.31%,0.08,7.38,0.00%,0.00,0.00
Poland,PMax | Rem | EU | EN, --,EUR,2.75,"6,639",293,4.41%,0.06,18.27,0.00%,0.00,0.00
Slovakia,PMax | Rem | EU | EN, --,EUR,4.87,"7,396",480,6.49%,0.08,36.04,0.00%,0.00,0.00
Sweden,PMax | Rem | EU | EN, --,EUR,11.52,"3,011",87,2.89%,0.40,34.69,1.01%,0.88,39.35
Moldova,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Finland,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Hungary,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Lithuania,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bosnia and Herzegovina,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Montenegro,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
North Macedonia,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovenia,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Romania,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Poland,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Italy,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Kosovo,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Albania,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Portugal,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Denmark,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bulgaria,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
France,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Norway,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Spain,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Serbia,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Latvia,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Estonia,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Croatia,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Greece,Rem | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,PMax | General | NL, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Norway,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Hungary,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Romania,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Poland,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Denmark,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Serbia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Lithuania,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Greece,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Kosovo,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Albania,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Finland,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Spain,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Latvia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Moldova,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
France,S | Brand | EU | FR, --,EUR,392.00,5,3,60.00%,0.65,1.96,0.00%,0.00,0.00
Estonia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Portugal,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Italy,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovenia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Croatia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
North Macedonia,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Montenegro,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bosnia and Herzegovina,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bulgaria,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,ADa_Panty_NL, --,EUR,13.54,"24,647","1,455",5.90%,0.23,333.79,0.27%,4.00,83.45
Belgium,PMax | Rem | DE, --,EUR,2.59,"1,378",90,6.53%,0.04,3.56,0.00%,0.00,0.00
Switzerland,PMax | Rem | DE, --,EUR,5.07,"6,922",97,1.40%,0.36,35.07,0.00%,0.00,0.00
Germany,PMax | Rem | DE, --,EUR,14.72,"49,513","1,884",3.81%,0.39,728.76,0.69%,13.00,56.06
Belgium,PMax | Rem | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Switzerland,PMax | Rem | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
France,PMax | Rem | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
United States,PMax | Rem | US | EN, --,EUR,14.63,"5,455",87,1.59%,0.92,79.78,1.15%,1.00,79.78
United Kingdom,S | General | UK, --,EUR,78.69,847,56,6.61%,1.19,66.65,1.79%,1.00,66.65
Switzerland,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Romania,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Hungary,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Austria,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Belgium,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Italy,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Finland,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Portugal,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Spain,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
France,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Germany,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Denmark,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Norway,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Greece,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,PMAX | shopping | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
United Kingdom,PMax | Rem | UK, --,EUR,16.13,"18,727",866,4.62%,0.35,301.98,0.58%,5.00,60.40
Poland,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
North Macedonia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Albania,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Lithuania,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Estonia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Portugal,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Moldova,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bulgaria,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Latvia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovenia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Montenegro,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Serbia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Croatia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Kosovo,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Norway,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Denmark,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Hungary,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Romania,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Finland,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Spain,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Greece,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bosnia and Herzegovina,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Italy,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
France,S | General | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Lithuania,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Denmark,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bulgaria,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovenia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Poland,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Greece,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Albania,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Moldova,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Finland,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bosnia and Herzegovina,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Portugal,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Switzerland,S | Brand | EU | DE, --,EUR,35.00,10,4,40.00%,0.09,0.35,0.00%,0.00,0.00
Romania,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
North Macedonia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Germany,S | Brand | EU | DE, --,EUR,32.25,75,25,33.33%,0.10,2.42,16.00%,4.00,0.60
Italy,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Montenegro,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Serbia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Estonia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
France,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Latvia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Croatia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Kosovo,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Hungary,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
