Ad schedule day and hour report
1 January 2026 - 26 March 2026
Day of the week,Hour of the day,Campaign,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Saturday,23,ADa_Panty_NL,EUR,0.00,23,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,16,PMax | Rem | AU-NZ | EN,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,19,PMax | Rem | CA | EN,EUR,0.87,18,0,0.00%,0,0.02,0.00%,0.00,0.00
Wednesday,8,S | Brand | NL,EUR,0.00,2,1,50.00%,0.00,0.00,0.00%,0.00,0.00
Tuesday,17,S | Brand | NL,EUR,5.71,7,3,42.86%,0.01,0.04,33.33%,1.00,0.04
Saturday,0,PMax | Rem | DE,EUR,22.62,187,13,6.95%,0.33,4.23,0.00%,0.00,0.00
Saturday,9,PMax | Rem | DE,EUR,18.90,535,26,4.86%,0.39,10.11,0.00%,0.00,0.00
Saturday,10,PMax | Rem | DE,EUR,23.63,400,17,4.25%,0.56,9.45,0.00%,0.00,0.00
Friday,6,PMax | Rem | DE,EUR,13.42,280,16,5.71%,0.23,3.76,0.00%,0.00,0.00
Thursday,21,PMax | Rem | DE,EUR,22.72,311,12,3.86%,0.59,7.07,0.00%,0.00,0.00
Wednesday,9,PMax | Rem | DE,EUR,17.86,304,7,2.30%,0.78,5.43,0.00%,0.00,0.00
Wednesday,11,PMax | Rem | DE,EUR,3.91,329,8,2.43%,0.16,1.29,0.00%,0.00,0.00
Tuesday,7,PMax | Rem | DE,EUR,3.05,"1,317",23,1.75%,0.17,4.01,0.00%,0.00,0.00
Tuesday,16,PMax | Rem | DE,EUR,8.20,649,20,3.08%,0.27,5.32,0.00%,0.00,0.00
Monday,6,PMax | Rem | DE,EUR,14.46,132,3,2.27%,0.64,1.91,0.00%,0.00,0.00
Sunday,13,PMax | Rem | DE,EUR,10.64,482,18,3.73%,0.28,5.13,0.00%,0.00,0.00
Friday,4,PMax | Rem | UK,EUR,49.46,11,1,9.09%,0.54,0.54,0.00%,0.00,0.00
Wednesday,8,PMax | Rem | UK,EUR,15.47,80,4,5.00%,0.31,1.24,0.00%,0.00,0.00
Sunday,10,PMax | Rem | UK,EUR,49.57,110,7,6.36%,0.78,5.45,0.00%,0.00,0.00
Saturday,13,DGen | EN,EUR,0.35,"3,441",4,0.12%,0.30,1.19,0.00%,0.00,0.00
Wednesday,21,S | General | UK,EUR,147.19,32,2,6.25%,2.36,4.71,0.00%,0.00,0.00
Tuesday,4,ADa_Panty_NL,EUR,2.14,32,1,3.13%,0.07,0.07,0.00%,0.00,0.00
Tuesday,17,ADa_Panty_NL,EUR,7.73,276,12,4.35%,0.18,2.13,0.00%,0.00,0.00
Monday,11,ADa_Panty_NL,EUR,14.89,45,1,2.22%,0.67,0.67,0.00%,0.00,0.00
Friday,16,Sh | General | NL,EUR,34.75,40,1,2.50%,1.39,1.39,0.00%,0.00,0.00
Thursday,8,PMax | Rem | NL | New,EUR,8.80,530,26,4.91%,0.18,4.67,0.00%,0.00,0.00
Wednesday,2,PMax | Rem | NL | New,EUR,9.25,127,10,7.87%,0.12,1.17,0.00%,0.00,0.00
Monday,22,PMax | Rem | NL | New,EUR,16.55,968,42,4.34%,0.38,16.02,0.00%,0.00,0.00
Sunday,7,PMax | Rem | NL | New,EUR,33.77,307,19,6.19%,0.55,10.37,0.00%,0.00,0.00
Tuesday,17,S | General | EU | EN,EUR,21.70,200,7,3.50%,0.62,4.34,0.00%,0.00,0.00
Monday,1,S | General | EU | EN,EUR,45.00,38,3,7.89%,0.57,1.71,0.00%,0.00,0.00
Thursday,0,PMax | Rem | CA | EN,EUR,11.39,11,1,9.09%,0.13,0.13,0.00%,0.00,0.00
Tuesday,11,ADa_Pants_NL,EUR,2.39,47,12,25.53%,0.01,0.11,0.00%,0.00,0.00
Thursday,0,S | General | NL,EUR,25.54,42,1,2.38%,1.07,1.07,0.00%,0.00,0.00
Tuesday,15,PMax | Rem | EU | EN,EUR,4.07,583,17,2.92%,0.14,2.37,0.00%,0.00,0.00
Monday,3,PMax | Rem | UK,EUR,0.00,16,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,13,S | General | UK,EUR,0.00,25,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,22,S | General | UK,EUR,0.00,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,13,ADa_Panty_NL,EUR,0.00,21,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,1,Sh | General | NL,EUR,0.00,14,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,12,Sh | General | NL,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,15,S | Brand | EU | DE,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,10,PMax | Rem | CA | EN,EUR,1.87,4,0,0.00%,0,0.01,0.00%,0.00,0.00
Friday,15,ADa_Brand_NL,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,21,ADa_Brand_NL,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,15,S | Brand | NL,EUR,90.83,12,5,41.67%,0.22,1.09,20.00%,1.00,1.09
Wednesday,14,S | Brand | NL,EUR,5.71,14,5,35.71%,0.02,0.08,60.00%,3.00,0.03
Saturday,5,PMax | Rem | DE,EUR,35.09,89,5,5.62%,0.62,3.12,10.00%,0.50,6.25
Saturday,15,PMax | Rem | DE,EUR,13.40,532,22,4.14%,0.32,7.13,0.00%,0.00,0.00
Thursday,9,PMax | Rem | DE,EUR,27.18,304,15,4.93%,0.55,8.26,0.00%,0.00,0.00
Thursday,12,PMax | Rem | DE,EUR,7.65,399,9,2.26%,0.34,3.05,0.00%,0.00,0.00
Sunday,20,PMax | Rem | DE,EUR,9.39,904,28,3.10%,0.30,8.49,0.00%,0.00,0.00
Saturday,14,PMax | Rem | UK,EUR,0.20,92,1,1.09%,0.02,0.02,0.00%,0.00,0.00
Saturday,21,PMax | Rem | UK,EUR,7.83,110,4,3.64%,0.22,0.86,0.00%,0.00,0.00
Thursday,23,PMax | Rem | UK,EUR,0.56,85,1,1.18%,0.05,0.05,0.00%,0.00,0.00
Tuesday,3,PMax | Rem | UK,EUR,1.70,43,3,6.98%,0.02,0.07,0.00%,0.00,0.00
Tuesday,9,PMax | Rem | UK,EUR,13.05,168,9,5.36%,0.24,2.19,0.00%,0.00,0.00
Saturday,13,PMAX | shopping | EU | EN,EUR,15.12,224,8,3.57%,0.42,3.39,0.00%,0.00,0.00
Wednesday,19,PMAX | shopping | EU | EN,EUR,1.68,147,1,0.68%,0.25,0.25,0.00%,0.00,0.00
Tuesday,18,PMAX | shopping | EU | EN,EUR,3.27,250,2,0.80%,0.41,0.82,0.00%,0.00,0.00
Monday,22,PMAX | shopping | EU | EN,EUR,5.77,94,1,1.06%,0.54,0.54,0.00%,0.00,0.00
Thursday,4,DGen | EN,EUR,4.10,689,7,1.02%,0.40,2.82,0.00%,0.00,0.00
Wednesday,11,DGen | EN,EUR,0.36,"2,457",7,0.28%,0.13,0.89,0.00%,0.00,0.00
Monday,3,DGen | EN,EUR,10.69,509,9,1.77%,0.60,5.44,0.00%,0.00,0.00
Monday,5,DGen | EN,EUR,3.71,197,1,0.51%,0.73,0.73,0.00%,0.00,0.00
Saturday,14,S | General | UK,EUR,147.73,4,1,25.00%,0.59,0.59,0.00%,0.00,0.00
Thursday,3,PMax | Rem | US | EN,EUR,3.22,94,1,1.06%,0.30,0.30,0.00%,0.00,0.00
Wednesday,22,ADa_Panty_NL,EUR,9.35,891,58,6.51%,0.14,8.33,0.00%,0.00,0.00
Thursday,19,Sh | General | NL,EUR,55.63,32,2,6.25%,0.89,1.78,0.00%,0.00,0.00
Tuesday,6,Sh | General | NL,EUR,132.00,10,1,10.00%,1.32,1.32,0.00%,0.00,0.00
Saturday,21,S | Brand | EU | DE,EUR,5.00,2,1,50.00%,0.01,0.01,0.00%,0.00,0.00
Friday,20,S | Brand | EU | DE,EUR,25.00,2,1,50.00%,0.05,0.05,0.00%,0.00,0.00
Friday,0,PMax | Rem | NL | New,EUR,13.42,249,20,8.03%,0.17,3.34,0.00%,0.00,0.00
Thursday,20,PMax | Rem | NL | New,EUR,26.12,906,44,4.86%,0.54,23.66,4.55%,2.00,11.83
Wednesday,16,PMax | Rem | NL | New,EUR,15.08,562,23,4.09%,0.37,8.48,0.00%,0.00,0.00
Wednesday,17,PMax | Rem | NL | New,EUR,9.29,557,35,6.28%,0.15,5.18,0.00%,0.00,0.00
Wednesday,20,PMax | Rem | NL | New,EUR,16.42,854,38,4.45%,0.37,14.02,0.00%,0.00,0.00
Saturday,2,S | General | EU | EN,EUR,35.19,27,2,7.41%,0.48,0.95,0.00%,0.00,0.00
Tuesday,23,S | General | EU | EN,EUR,51.88,46,5,10.87%,0.48,2.39,0.00%,0.00,0.00
Tuesday,4,PMax | Rem | CA | EN,EUR,1.24,22,1,4.55%,0.03,0.03,0.00%,0.00,0.00
Monday,5,PMax | Rem | CA | EN,EUR,3.23,32,2,6.25%,0.05,0.10,0.00%,0.00,0.00
Sunday,13,PMax | Rem | CA | EN,EUR,1.32,4,1,25.00%,0.01,0.01,0.00%,0.00,0.00
Friday,17,ADa_Pants_NL,EUR,2.94,298,12,4.03%,0.07,0.88,0.00%,0.00,0.00
Wednesday,22,ADa_Pants_NL,EUR,28.02,315,7,2.22%,1.26,8.83,0.00%,0.00,0.00
Sunday,19,ADa_Pants_NL,EUR,8.98,218,11,5.05%,0.18,1.96,0.00%,0.00,0.00
Tuesday,19,S | General | NL,EUR,125.00,60,5,8.33%,1.50,7.50,0.00%,0.00,0.00
Tuesday,21,S | General | NL,EUR,59.07,72,2,2.78%,2.13,4.25,0.00%,0.00,0.00
Wednesday,20,PMax | Rem | EU | EN,EUR,16.16,481,16,3.33%,0.49,7.77,0.00%,0.00,0.00
Monday,10,PMax | Rem | EU | EN,EUR,3.13,689,25,3.63%,0.09,2.16,4.00%,1.00,2.16
Monday,11,PMax | Rem | EU | EN,EUR,10.41,610,22,3.61%,0.29,6.35,0.00%,0.00,0.00
Wednesday,7,S | General | UK,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,13,PMax | Rem | US | EN,EUR,0.00,7,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,7,PMax | Rem | US | EN,EUR,0.00,27,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,10,PMax | Rem | US | EN,EUR,0.00,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,4,ADa_Panty_NL,EUR,0.00,21,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,2,ADa_Panty_NL,EUR,0.00,42,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,7,PMax | Rem | CA | EN,EUR,0.76,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,19,PMax | Rem | AU-NZ | EN,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,22,PMax | Rem | AU-NZ | EN,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,20,ADa_Brand_NL,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,1,S | Brand | NL,EUR,51.67,6,2,33.33%,0.16,0.31,100.00%,2.00,0.16
Friday,6,S | Brand | NL,EUR,29.10,8,3,37.50%,0.08,0.23,0.00%,0.00,0.00
Friday,23,S | Brand | NL,EUR,124.17,12,6,50.00%,0.25,1.49,16.67%,1.00,1.49
Thursday,0,S | Brand | NL,EUR,149.96,2,1,50.00%,0.30,0.30,0.00%,0.00,0.00
Monday,17,S | Brand | NL,EUR,5.00,2,1,50.00%,0.01,0.01,0.00%,0.00,0.00
Saturday,11,PMax | Rem | DE,EUR,33.95,347,26,7.49%,0.45,11.78,0.00%,0.00,0.00
Tuesday,0,PMax | Rem | DE,EUR,4.35,198,2,1.01%,0.43,0.86,0.00%,0.00,0.00
Friday,19,PMax | Rem | UK,EUR,14.34,113,10,8.85%,0.16,1.62,0.00%,0.00,0.00
Friday,22,PMax | Rem | UK,EUR,6.78,275,26,9.45%,0.07,1.87,0.00%,0.00,0.00
Tuesday,22,PMax | Rem | UK,EUR,13.16,122,8,6.56%,0.20,1.61,0.00%,0.00,0.00
Sunday,21,PMax | Rem | UK,EUR,16.92,143,9,6.29%,0.27,2.42,0.00%,0.00,0.00
Thursday,18,PMAX | shopping | EU | EN,EUR,3.15,201,3,1.49%,0.21,0.63,0.00%,0.00,0.00
Tuesday,22,PMAX | shopping | EU | EN,EUR,15.37,350,6,1.71%,0.90,5.38,0.00%,0.00,0.00
Sunday,8,PMAX | shopping | EU | EN,EUR,11.50,385,6,1.56%,0.74,4.43,0.00%,0.00,0.00
Saturday,17,DGen | EN,EUR,0.38,"4,418",13,0.29%,0.13,1.66,0.00%,0.00,0.00
Friday,3,DGen | EN,EUR,40.38,179,4,2.23%,1.81,7.23,0.00%,0.00,0.00
Thursday,14,DGen | EN,EUR,0.33,"3,410",8,0.23%,0.14,1.11,0.00%,0.00,0.00
Wednesday,20,DGen | EN,EUR,0.35,"4,099",8,0.20%,0.18,1.44,0.00%,0.00,0.00
Monday,0,DGen | EN,EUR,4.42,"1,160",14,1.21%,0.37,5.12,0.00%,0.00,0.00
Tuesday,15,S | General | UK,EUR,35.71,14,1,7.14%,0.50,0.50,0.00%,0.00,0.00
Wednesday,17,PMax | Rem | US | EN,EUR,21.43,49,1,2.04%,1.05,1.05,0.00%,0.00,0.00
Tuesday,21,PMax | Rem | US | EN,EUR,5.41,74,1,1.35%,0.40,0.40,0.00%,0.00,0.00
Sunday,20,PMax | Rem | US | EN,EUR,21.29,85,1,1.18%,1.81,1.81,0.00%,0.00,0.00
Thursday,9,ADa_Panty_NL,EUR,20.16,749,37,4.94%,0.41,15.10,0.00%,0.00,0.00
Wednesday,3,ADa_Panty_NL,EUR,2.04,43,1,2.33%,0.09,0.09,0.00%,0.00,0.00
Monday,13,ADa_Panty_NL,EUR,12.22,45,1,2.22%,0.55,0.55,0.00%,0.00,0.00
Monday,15,ADa_Panty_NL,EUR,45.12,29,2,6.90%,0.65,1.31,0.00%,0.00,0.00
Monday,15,Sh | General | NL,EUR,27.58,91,3,3.30%,0.84,2.51,0.00%,0.00,0.00
Sunday,20,S | Brand | EU | DE,EUR,5.00,2,1,50.00%,0.01,0.01,0.00%,0.00,0.00
Saturday,7,PMax | Rem | NL | New,EUR,11.49,420,42,10.00%,0.11,4.83,2.38%,1.00,4.83
Tuesday,16,PMax | Rem | NL | New,EUR,11.60,448,25,5.58%,0.21,5.20,4.00%,1.00,5.20
Monday,16,PMax | Rem | NL | New,EUR,16.97,722,45,6.23%,0.27,12.25,1.11%,0.50,24.51
Friday,11,S | General | EU | EN,EUR,49.16,132,5,3.79%,1.30,6.49,0.00%,0.00,0.00
Tuesday,15,S | General | EU | EN,EUR,27.21,165,5,3.03%,0.90,4.49,0.00%,0.00,0.00
Monday,10,S | General | EU | EN,EUR,78.38,105,8,7.62%,1.03,8.23,0.00%,0.00,0.00
Monday,18,S | General | EU | EN,EUR,60.40,48,3,6.25%,0.97,2.90,0.00%,0.00,0.00
Sunday,17,S | General | EU | EN,EUR,112.71,85,4,4.71%,2.40,9.58,0.00%,0.00,0.00
Thursday,22,PMax | Rem | CA | EN,EUR,565.21,7,2,28.57%,1.98,3.96,0.00%,0.00,0.00
Monday,20,PMax | Rem | CA | EN,EUR,1.08,13,1,7.69%,0.01,0.01,0.00%,0.00,0.00
Saturday,11,ADa_Pants_NL,EUR,6.08,189,9,4.76%,0.13,1.15,0.00%,0.00,0.00
Saturday,13,ADa_Pants_NL,EUR,7.07,202,12,5.94%,0.12,1.43,0.00%,0.00,0.00
Friday,0,ADa_Pants_NL,EUR,15.95,42,1,2.38%,0.67,0.67,0.00%,0.00,0.00
Thursday,7,ADa_Pants_NL,EUR,25.90,211,5,2.37%,1.09,5.47,0.00%,0.00,0.00
Thursday,16,ADa_Pants_NL,EUR,5.46,295,5,1.69%,0.32,1.61,0.00%,0.00,0.00
Sunday,22,ADa_Pants_NL,EUR,9.43,433,24,5.54%,0.17,4.09,0.00%,0.00,0.00
Wednesday,8,S | General | NL,EUR,581.70,53,3,5.66%,10.28,30.83,0.00%,0.00,0.00
Monday,10,S | General | NL,EUR,114.90,98,5,5.10%,2.25,11.26,0.00%,0.00,0.00
Sunday,19,S | Brand | EU | EN,EUR,5.00,2,1,50.00%,0.01,0.01,0.00%,0.00,0.00
Saturday,7,PMax | Rem | EU | EN,EUR,8.18,305,33,10.82%,0.08,2.50,0.00%,0.00,0.00
Saturday,19,PMax | Rem | EU | EN,EUR,13.89,524,33,6.30%,0.22,7.28,0.00%,0.00,0.00
Friday,3,PMax | Rem | EU | EN,EUR,0.69,78,1,1.28%,0.05,0.05,0.00%,0.00,0.00
Tuesday,8,PMax | Rem | EU | EN,EUR,4.64,759,14,1.84%,0.25,3.52,0.00%,0.00,0.00
Monday,0,PMax | Rem | EU | EN,EUR,11.23,163,16,9.82%,0.11,1.83,0.00%,0.00,0.00
Sunday,11,PMax | Rem | EU | EN,EUR,16.03,407,21,5.16%,0.31,6.52,0.00%,0.00,0.00
Thursday,11,PMax | Rem | AU-NZ | EN,EUR,4.73,157,2,1.27%,0.37,0.74,0.00%,0.00,0.00
Thursday,23,PMax | Rem | AU-NZ | EN,EUR,100.00,9,1,11.11%,0.90,0.90,0.00%,0.00,0.00
Wednesday,4,S | General | UK,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,8,PMax | Rem | US | EN,EUR,0.00,9,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,21,PMax | Rem | US | EN,EUR,0.00,7,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,15,ADa_Panty_NL,EUR,0.00,25,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,1,Sh | General | NL,EUR,0.00,6,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,13,Sh | General | NL,EUR,0.00,24,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,7,PMax | Rem | CA | EN,EUR,3.00,9,0,0.00%,0,0.03,0.00%,0.00,0.00
Wednesday,16,PMax | Rem | CA | EN,EUR,0.00,6,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,0,PMax | Rem | CA | EN,EUR,1.37,17,0,0.00%,0,0.02,0.00%,0.00,0.00
Thursday,3,ADa_Pants_NL,EUR,0.00,8,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,1,ADa_Pants_NL,EUR,1.06,31,0,0.00%,0,0.03,0.00%,0.00,0.00
Wednesday,20,PMax | Rem | AU-NZ | EN,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,13,PMax | Rem | AU-NZ | EN,EUR,0.58,10,0,0.00%,0,0.01,0.00%,0.00,0.00
Wednesday,21,S | Brand | NL,EUR,2.00,10,2,20.00%,0.01,0.02,50.00%,1.00,0.02
Sunday,21,S | Brand | NL,EUR,20.00,14,5,35.71%,0.06,0.28,0.00%,0.00,0.00
Saturday,4,PMax | Rem | DE,EUR,9.58,62,2,3.23%,0.30,0.59,0.00%,0.00,0.00
Friday,12,PMax | Rem | DE,EUR,15.51,365,17,4.66%,0.33,5.66,0.00%,0.00,0.00
Thursday,8,PMax | Rem | DE,EUR,17.87,313,15,4.79%,0.37,5.59,0.00%,0.00,0.00
Sunday,0,PMax | Rem | DE,EUR,30.10,194,17,8.76%,0.34,5.84,0.00%,0.00,0.00
Sunday,4,PMax | Rem | DE,EUR,9.46,32,1,3.13%,0.30,0.30,0.00%,0.00,0.00
Saturday,3,PMax | Rem | UK,EUR,1.14,48,3,6.25%,0.02,0.05,0.00%,0.00,0.00
Saturday,13,PMax | Rem | UK,EUR,13.56,85,4,4.71%,0.29,1.15,0.00%,0.00,0.00
Wednesday,16,PMax | Rem | UK,EUR,1.83,108,4,3.70%,0.05,0.20,0.00%,0.00,0.00
Tuesday,10,PMax | Rem | UK,EUR,17.56,202,7,3.47%,0.51,3.55,14.29%,1.00,3.55
Saturday,16,PMAX | shopping | EU | EN,EUR,0.50,160,1,0.63%,0.08,0.08,0.00%,0.00,0.00
Saturday,23,PMAX | shopping | EU | EN,EUR,1.65,218,1,0.46%,0.36,0.36,0.00%,0.00,0.00
Friday,7,DGen | EN,EUR,0.55,"1,373",3,0.22%,0.25,0.76,0.00%,0.00,0.00
Thursday,1,DGen | EN,EUR,0.34,178,2,1.12%,0.03,0.06,0.00%,0.00,0.00
Tuesday,10,DGen | EN,EUR,0.65,"2,026",12,0.59%,0.11,1.31,0.00%,0.00,0.00
Wednesday,16,S | General | UK,EUR,61.43,21,1,4.76%,1.29,1.29,0.00%,0.00,0.00
Wednesday,5,ADa_Panty_NL,EUR,6.30,45,4,8.89%,0.07,0.28,0.00%,0.00,0.00
Wednesday,6,ADa_Panty_NL,EUR,29.71,66,3,4.55%,0.65,1.96,0.00%,0.00,0.00
Wednesday,9,ADa_Panty_NL,EUR,9.95,154,7,4.55%,0.22,1.53,0.00%,0.00,0.00
Wednesday,14,Sh | General | NL,EUR,202.86,7,1,14.29%,1.42,1.42,0.00%,0.00,0.00
Saturday,7,S | Brand | EU | DE,EUR,5.00,2,1,50.00%,0.01,0.01,0.00%,0.00,0.00
Saturday,9,S | Brand | EU | DE,EUR,5.00,2,1,50.00%,0.01,0.01,0.00%,0.00,0.00
Thursday,5,PMax | Rem | NL | New,EUR,16.13,80,6,7.50%,0.22,1.29,0.00%,0.00,0.00
Monday,6,PMax | Rem | NL | New,EUR,4.41,191,14,7.33%,0.06,0.84,0.00%,0.00,0.00
Monday,13,PMax | Rem | NL | New,EUR,19.36,809,42,5.19%,0.37,15.66,1.19%,0.50,31.32
Sunday,0,PMax | Rem | NL | New,EUR,5.80,329,17,5.17%,0.11,1.91,0.00%,0.00,0.00
Saturday,14,S | General | EU | EN,EUR,53.75,69,4,5.80%,0.93,3.71,0.00%,0.00,0.00
Friday,19,ADa_Pants_NL,EUR,8.53,349,15,4.30%,0.20,2.98,0.00%,0.00,0.00
Wednesday,4,ADa_Pants_NL,EUR,11.12,19,4,21.05%,0.05,0.21,0.00%,0.00,0.00
Tuesday,16,ADa_Pants_NL,EUR,6.84,274,14,5.11%,0.13,1.87,0.00%,0.00,0.00
Sunday,8,ADa_Pants_NL,EUR,7.76,170,10,5.88%,0.13,1.32,0.00%,0.00,0.00
Sunday,14,ADa_Pants_NL,EUR,12.52,131,1,0.76%,1.64,1.64,0.00%,0.00,0.00
Wednesday,16,S | General | NL,EUR,242.99,33,4,12.12%,2.00,8.02,25.00%,1.00,8.02
Tuesday,3,S | General | NL,EUR,157.50,8,1,12.50%,1.26,1.26,0.00%,0.00,0.00
Monday,20,S | General | NL,EUR,19.78,89,2,2.25%,0.88,1.76,0.00%,0.00,0.00
Sunday,7,S | General | NL,EUR,41.77,62,1,1.61%,2.59,2.59,0.00%,0.00,0.00
Friday,11,PMax | Rem | EU | EN,EUR,5.54,418,19,4.55%,0.12,2.32,0.00%,0.00,0.00
Thursday,14,PMax | Rem | EU | EN,EUR,11.89,373,18,4.83%,0.25,4.43,0.00%,0.00,0.00
Tuesday,20,PMax | Rem | EU | EN,EUR,7.96,514,22,4.28%,0.19,4.09,0.00%,0.00,0.00
Monday,19,PMax | Rem | EU | EN,EUR,3.30,"1,002",36,3.59%,0.09,3.31,0.00%,0.00,0.00
Sunday,22,PMax | Rem | AU-NZ | EN,EUR,160.73,21,3,14.29%,1.13,3.38,0.00%,0.00,0.00
Tuesday,9,ADa_Brand_NL,EUR,5.00,2,1,50.00%,0.01,0.01,100.00%,1.00,0.01
Friday,10,S | General | UK,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,13,PMax | Rem | US | EN,EUR,0.00,30,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,17,PMax | Rem | US | EN,EUR,0.00,16,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,5,ADa_Panty_NL,EUR,0.00,10,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,4,S | General | EU | EN,EUR,0.00,15,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,4,S | General | EU | EN,EUR,0.00,10,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,5,S | General | NL,EUR,0.00,6,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,13,S | Brand | NL,EUR,85.71,7,4,57.14%,0.15,0.60,25.00%,1.00,0.60
Friday,22,S | Brand | NL,EUR,87.00,10,3,30.00%,0.29,0.87,0.00%,0.00,0.00
Thursday,6,S | Brand | NL,EUR,655.00,2,1,50.00%,1.31,1.31,0.00%,0.00,0.00
Monday,21,S | Brand | NL,EUR,140.00,4,1,25.00%,0.56,0.56,0.00%,0.00,0.00
Friday,21,PMax | Rem | DE,EUR,10.94,381,8,2.10%,0.52,4.17,0.00%,0.00,0.00
Monday,5,PMax | Rem | DE,EUR,63.91,78,8,10.26%,0.62,4.99,12.50%,1.00,4.99
Saturday,1,PMax | Rem | UK,EUR,19.02,87,5,5.75%,0.33,1.66,0.00%,0.00,0.00
Tuesday,2,PMax | Rem | UK,EUR,42.96,68,4,5.88%,0.73,2.92,0.00%,0.00,0.00
Sunday,1,PMax | Rem | UK,EUR,27.46,41,1,2.44%,1.13,1.13,0.00%,0.00,0.00
Saturday,8,PMAX | shopping | EU | EN,EUR,1.19,209,5,2.39%,0.05,0.25,0.00%,0.00,0.00
Thursday,15,PMAX | shopping | EU | EN,EUR,2.85,300,2,0.67%,0.43,0.85,0.00%,0.00,0.00
Tuesday,2,PMAX | shopping | EU | EN,EUR,12.35,17,1,5.88%,0.21,0.21,0.00%,0.00,0.00
Sunday,6,PMAX | shopping | EU | EN,EUR,3.92,124,2,1.61%,0.24,0.49,0.00%,0.00,0.00
Sunday,9,PMAX | shopping | EU | EN,EUR,3.89,530,7,1.32%,0.29,2.06,0.00%,0.00,0.00
Tuesday,4,DGen | EN,EUR,0.69,364,2,0.55%,0.12,0.25,0.00%,0.00,0.00
Sunday,15,DGen | EN,EUR,0.40,"4,215",11,0.26%,0.15,1.69,0.00%,0.00,0.00
Sunday,14,S | General | UK,EUR,287.47,5,1,20.00%,1.44,1.44,0.00%,0.00,0.00
Friday,14,ADa_Panty_NL,EUR,3.94,146,7,4.79%,0.08,0.58,0.00%,0.00,0.00
Wednesday,13,ADa_Panty_NL,EUR,21.83,239,13,5.44%,0.40,5.22,0.00%,0.00,0.00
Thursday,15,Sh | General | NL,EUR,44.52,31,1,3.23%,1.38,1.38,0.00%,0.00,0.00
Wednesday,11,Sh | General | NL,EUR,185.71,7,1,14.29%,1.30,1.30,0.00%,0.00,0.00
Thursday,9,PMax | Rem | NL | New,EUR,9.36,556,20,3.60%,0.26,5.20,0.00%,0.00,0.00
Sunday,4,PMax | Rem | NL | New,EUR,0.70,49,3,6.12%,0.01,0.03,0.00%,0.00,0.00
Sunday,5,PMax | Rem | NL | New,EUR,0.44,59,2,3.39%,0.01,0.03,0.00%,0.00,0.00
Friday,12,S | General | EU | EN,EUR,52.41,215,10,4.65%,1.13,11.27,0.00%,0.00,0.00
Sunday,21,S | General | EU | EN,EUR,38.82,102,6,5.88%,0.66,3.96,0.00%,0.00,0.00
Sunday,23,S | General | EU | EN,EUR,11.88,61,3,4.92%,0.24,0.72,0.00%,0.00,0.00
Thursday,8,ADa_Pants_NL,EUR,46.86,233,9,3.86%,1.21,10.92,0.00%,0.00,0.00
