Ad schedule day and hour report
1 January 2026 - 26 March 2026
Day of the week,Hour of the day,Campaign,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Wednesday,12,PMax | Rem | CA | EN,EUR,0.00,8,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,10,PMax | Rem | CA | EN,EUR,0.31,10,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,19,PMax | Rem | CA | EN,EUR,0.00,11,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,23,PMax | Rem | AU-NZ | EN,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,18,PMax | Rem | AU-NZ | EN,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,9,PMax | Rem | AU-NZ | EN,EUR,0.00,27,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,23,ADa_Brand_NL,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,9,S | Brand | NL,EUR,267.79,15,5,33.33%,0.80,4.02,0.00%,0.00,0.00
Wednesday,10,S | Brand | NL,EUR,275.58,8,2,25.00%,1.10,2.20,0.00%,0.00,0.00
Sunday,0,S | Brand | NL,EUR,107.80,6,4,66.67%,0.16,0.65,25.00%,1.00,0.65
Sunday,20,S | Brand | NL,EUR,169.17,12,4,33.33%,0.51,2.03,25.00%,1.00,2.03
Saturday,20,PMax | Rem | DE,EUR,6.71,201,7,3.48%,0.19,1.35,0.00%,0.00,0.00
Friday,2,PMax | Rem | DE,EUR,13.02,45,2,4.44%,0.29,0.59,50.00%,1.00,0.59
Wednesday,3,PMax | Rem | DE,EUR,11.67,37,2,5.41%,0.22,0.43,0.00%,0.00,0.00
Wednesday,14,PMax | Rem | DE,EUR,9.65,419,13,3.10%,0.31,4.04,0.00%,0.00,0.00
Sunday,21,PMax | Rem | DE,EUR,4.45,813,26,3.20%,0.14,3.61,0.00%,0.00,0.00
Wednesday,17,PMax | Rem | UK,EUR,21.54,205,12,5.85%,0.37,4.41,0.00%,0.00,0.00
