Quarter	Day of the week	Hour of the day	Campaign	Currency code	Avg. CPM	Impr.	Interactions	Interaction rate	Avg. cost	Cost	Conv. rate	Conversions	Cost / conv.
Current Quarter	Saturday	6	ADa_Pants_NL	EUR	36.75	46	3	0.0652	0.56	1.69	0	0	0
Current Quarter	Saturday	22	ADa_Pants_NL	EUR	2.61	182	5	0.0275	0.09	0.47	0	0	0
Current Quarter	Friday	13	ADa_Pants_NL	EUR	0.81	175	1	0.005699999999999999	0.14	0.14	0	0	0
Current Quarter	Thursday	18	ADa_Pants_NL	EUR	16	310	8	0.0258	0.62	4.96	0	0	0
Current Quarter	Thursday	21	S | General | NL	EUR	48.92	96	5	0.0521	0.94	4.7	0	0	0
Current Quarter	Friday	4	PMax | Rem | EU | EN	EUR	1.53	62	6	0.0968	0.02	0.09	0	0	0
Current Quarter	Wednesday	10	S | General | UK	EUR	0	19	0	0	0	0	0	0	0
Current Quarter	Monday	10	PMax | Rem | US | EN	EUR	0	1	0	0	0	0	0	0	0
Current Quarter	Sunday	6	ADa_Panty_NL	EUR	0	15	0	0	0	0	0	0	0
Current Quarter	Tuesday	3	Sh | General | NL	EUR	0	7	0	0	0	0	0	0	0
Current Quarter	Tuesday	13	Sh | General | NL	EUR	0	95	0	0	0	0	0	0	0
Current Quarter	Saturday	12	PMax | Rem | CA | EN	EUR	0	6	0	0	0	0	0	0	0
Current Quarter	Wednesday	11	PMax | Rem | CA | EN	EUR	0	1	0	0	0	0	0	0	0
Current Quarter	Wednesday	13	PMax | Rem | CA | EN	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Tuesday	0	PMax | Rem | CA | EN	EUR	0.08	59	0	0	0	0	0	0	0
Current Quarter	Friday	4	PMax | Rem | AU-NZ | EN	EUR	0	5	0	0	0	0	0	0	0
Current Quarter	Friday	20	PMax | Rem | AU-NZ | EN	EUR	0	9	0	0	0	0	0	0	0
Current Quarter	Wednesday	21	PMax | Rem | AU-NZ | EN	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Tuesday	10	ADa_Brand_NL	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Thursday	1	S | Brand | NL	EUR	265	2	1	0.5	0.53	0.53	0	0	0
Current Quarter	Thursday	21	S | Brand | NL	EUR	260	6	1	0.1667	1.56	1.56	1	1	1.56
Current Quarter	Thursday	6	PMax | Rem | DE	EUR	2.27	158	3	0.019	0.12	0.36	0	0	0
Current Quarter	Tuesday	4	PMax | Rem | DE	EUR	1.41	67	2	0.0299	0.05	0.09	0	0	0
Current Quarter	Monday	21	PMax | Rem | UK	EUR	18.94	96	5	0.0521	0.36	1.82	0	0	0
Current Quarter	Sunday	9	PMax | Rem | UK	EUR	12.31	91	7	0.07690000000000001	0.16	1.12	0	0	0
Current Quarter	Sunday	11	PMax | Rem | UK	EUR	89.41	114	7	0.0614	1.46	10.19	0	0	0
Current Quarter	Friday	7	PMAX | shopping | EU | EN	EUR	3.1	147	1	0.0068	0.46	0.46	0	0	0
Current Quarter	Wednesday	10	DGen | EN	EUR	0.43	2680	10	0.0037	0.11	1.14	0	0	0
Current Quarter	Tuesday	11	DGen | EN	EUR	0.4	2102	5	0.0024	0.17	0.83	0	0	0
Current Quarter	Sunday	17	DGen | EN	EUR	0.41	3993	8	0.002	0.21	1.64	0	0	0
Current Quarter	Friday	9	ADa_Panty_NL	EUR	6.41	92	5	0.05429999999999999	0.12	0.59	0	0	0
Current Quarter	Wednesday	2	ADa_Panty_NL	EUR	11.23	85	3	0.0353	0.32	0.95	0	0	0
Current Quarter	Sunday	21	ADa_Panty_NL	EUR	4.53	186	3	0.0161	0.28	0.84	0	0	0
Current Quarter	Wednesday	9	Sh | General | NL	EUR	55.71	14	1	0.07139999999999999	0.78	0.78	0	0	0
Current Quarter	Saturday	16	PMax | Rem | NL | New	EUR	11.74	996	62	0.0622	0.19	11.7	0	0	0
Current Quarter	Friday	11	PMax | Rem | NL | New	EUR	24.37	703	26	0.03700000000000001	0.66	17.13	0	0	0
Current Quarter	Wednesday	22	PMax | Rem | NL | New	EUR	18.22	757	33	0.0436	0.42	13.79	0	0	0
Current Quarter	Tuesday	1	PMax | Rem | NL | New	EUR	11.37	96	4	0.0417	0.27	1.09	0	0	0
Current Quarter	Monday	20	PMax | Rem | NL | New	EUR	8.06	1127	52	0.0461	0.17	9.09	0	0	0
Current Quarter	Sunday	19	PMax | Rem | NL | New	EUR	20.52	1054	59	0.05599999999999999	0.37	21.63	0	0	0
Current Quarter	Tuesday	4	S | General | EU | EN	EUR	136.15	13	2	0.1538	0.89	1.77	0	0	0
Current Quarter	Saturday	20	PMax | Rem | CA | EN	EUR	5.06	17	1	0.0588	0.09	0.09	0	0	0
Current Quarter	Friday	10	ADa_Pants_NL	EUR	10.92	147	10	0.068	0.16	1.61	0	0	0
Current Quarter	Thursday	13	ADa_Pants_NL	EUR	46.13	181	8	0.0442	1.04	8.35	0	0	0
Current Quarter	Monday	12	ADa_Pants_NL	EUR	13.57	69	7	0.1014	0.13	0.94	0	0	0
Current Quarter	Thursday	13	S | General | NL	EUR	29.38	103	3	0.0291	1.01	3.03	0	0	0
Current Quarter	Thursday	18	S | General | NL	EUR	31.58	76	2	0.0263	1.2	2.4	0	0	0
Current Quarter	Tuesday	19	S | Brand | EU | EN	EUR	670	1	1	1	0.67	0.67	0	0	0
Current Quarter	Monday	8	PMax | Rem | EU | EN	EUR	9.12	583	47	0.0806	0.11	5.31	0	0	0
Current Quarter	Monday	9	PMax | Rem | EU | EN	EUR	3.75	739	24	0.0325	0.12	2.77	0	0	0
