Quarter	Ad group status	Ad group	Campaign	Currency code	Default max. CPC	Target CPA	Target ROAS	Status	Status reasons	Ad group type	Currency code	Avg. CPM	Impr.	Interactions	Interaction rate	Avg. cost	Cost	Brand inclusions	Locations of interest	Conv. (Platform comparable)	Cost/Conv. (Platform comparable)	Conv. value/Cost (platform comparable)	Clicks	Conv. rate	Conv. value	Conv. value / cost	Conversions	Avg. CPC	Cost / conv.	Original conv. value
Current Quarter	Enabled	panty stippen	S | General | NL	EUR	--	--	1	Not eligible	campaign paused; unknown	Standard	EUR	67.73	1385	46	0.0332	2.04	93.8	[]	[]	0	0	0	46	0	0	0	0	2.04	0	0
Current Quarter	Enabled	Brand	S | Brand | EU | FR	EUR	--	--	--	Not eligible	campaign paused; unknown	Standard	EUR	392	5	3	0.6	0.65	1.96	[]	[]	0	0	0	3	0	0	0	0	0.65	0	0
Current Quarter	Enabled	panty ladder resist	S | General | NL	EUR	--	--	1	Not eligible	campaign paused; unknown	Standard	EUR	123.23	31	1	0.0323	3.82	3.82	[]	[]	0	0	0	1	0	0	0	0	3.82	0	0
Current Quarter	Enabled	tights ladder resist	S | General | UK	EUR	--	--	1	Not eligible	campaign paused; unknown	Standard	EUR	84.62	124	12	0.0968	0.87	10.49	[]	[]	0	0	0	12	0	0	0	0	0.87	0	0
Current Quarter	Enabled	tights does not break	S | General | UK	EUR	--	--	1	Not eligible	campaign paused; unknown	Standard	EUR	139.4	124	13	0.1048	1.33	17.29	[]	[]	0	0	0	13	0	0	0	0	1.33	0	0
Current Quarter	Enabled	panty anti ladder zwart	S | General | NL	EUR	--	--	1	Not eligible	campaign paused; unknown	Standard	EUR	340.62	18	2	0.1111	3.07	6.13	[]	[]	0	0	0	2	0	0	0	0	3.07	0	0
Current Quarter	Enabled	tights ladder resist	S | General | EU | EN	EUR	--	--	1	Not eligible	campaign paused; unknown	Standard	EUR	36.71	1904	100	0.0525	0.7	69.9	[]	[]	0	0	0	100	0.01	152.31	2.18	1	0.7	69.9	152.31
Current Quarter	Enabled	Brand	S | Brand | UK	EUR	--	--	--	Not eligible	campaign paused; unknown	Standard	EUR	98.33	6	2	0.3333	0.3	0.59	[]	[]	0	0	0	2	0	0	0	0	0.3	0	0
Current Quarter	Enabled	Brand	S | Brand | NL	EUR	--	--	--	Not eligible	campaign paused; unknown	Standard	EUR	101.47	984	311	0.3161	0.32	99.85	[]	[]	0	0	0	311	0.1519	2549.49	25.53	47.25	0.32	2.11	2549.49
Current Quarter	Enabled	Brand	S | Brand | EU | DE	EUR	--	--	--	Not eligible	campaign paused; unknown	Standard	EUR	29.57	95	33	0.3474	0.09	2.81	[]	[]	0	0	0	33	0.1212	317.29	112.97	4	0.09	0.7	317.29
